"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026072","PETROKREPOST, RS","2023-03-16","0.00","31","39",
"RSM00026072","PETROKREPOST, RS","2023-03-17","0.00","29","42","18"
"RSM00026072","PETROKREPOST, RS","2023-03-18","0.00","38","43","26"
"RSM00026072","PETROKREPOST, RS","2023-03-19","0.00","39","42","36"
"RSM00026072","PETROKREPOST, RS","2023-03-20","0.00","43","51","35"
"RSM00026072","PETROKREPOST, RS","2023-03-21","0.34","35","42",
"RSM00026072","PETROKREPOST, RS","2023-03-22","0.04","33",,"28"
"RSM00026072","PETROKREPOST, RS","2023-03-23","0.08","43","50","34"
"RSM00026072","PETROKREPOST, RS","2023-03-24","0.08","38","44","32"
"RSM00026072","PETROKREPOST, RS","2023-03-25","0.24","39","45",
"RSM00026072","PETROKREPOST, RS","2023-03-26","0.12","34","39",
"RSM00026072","PETROKREPOST, RS","2023-03-27","0.01","30","31","29"
"RSM00026072","PETROKREPOST, RS","2023-03-28","0.26","32","35","29"
"RSM00026072","PETROKREPOST, RS","2023-03-29","0.47","30","33",
"RSM00026072","PETROKREPOST, RS","2023-03-30","0.02","25","35","17"
"RSM00026072","PETROKREPOST, RS","2023-03-31","0.03","30","34","26"
"RSM00026072","PETROKREPOST, RS","2023-04-01","0.39","30","32",
"RSM00026072","PETROKREPOST, RS","2023-04-02","0.00","31","35","26"
"RSM00026072","PETROKREPOST, RS","2023-04-03","0.12","29","31","27"
"RSM00026072","PETROKREPOST, RS","2023-04-04","0.09","31","33","29"
"RSM00026072","PETROKREPOST, RS","2023-04-05","0.00","35","40","31"
"RSM00026072","PETROKREPOST, RS","2023-04-06","0.00","37","47",
"RSM00026072","PETROKREPOST, RS","2023-04-07","0.00","36","46","28"
"RSM00026072","PETROKREPOST, RS","2023-04-08","0.00","36","50","25"
"RSM00026072","PETROKREPOST, RS","2023-04-09","0.00","39","52","27"
"RSM00026072","PETROKREPOST, RS","2023-04-10","0.00","40","56","30"
"RSM00026072","PETROKREPOST, RS","2023-04-11","0.00","40",,"27"
"RSM00026072","PETROKREPOST, RS","2023-04-12","0.00","43","55","35"
"RSM00026072","PETROKREPOST, RS","2023-04-13","0.00","38","43","35"
"RSM00026072","PETROKREPOST, RS","2023-04-14","0.00","37","46","31"
"RSM00026072","PETROKREPOST, RS","2023-04-15","0.00","39","47","31"
"RSM00026072","PETROKREPOST, RS","2023-04-16","0.00","40","50","32"
"RSM00026072","PETROKREPOST, RS","2023-04-17","0.00","40","52","28"
"RSM00026072","PETROKREPOST, RS","2023-04-18","0.00","41","53","27"
"RSM00026072","PETROKREPOST, RS","2023-04-19","0.00","42","52",
"RSM00026072","PETROKREPOST, RS","2023-04-20","0.01","45","59","29"
"RSM00026072","PETROKREPOST, RS","2023-04-21","0.00","46","55","34"
"RSM00026072","PETROKREPOST, RS","2023-04-22","0.00","53","64","41"
"RSM00026072","PETROKREPOST, RS","2023-04-23","0.00","48","66","37"
"RSM00026072","PETROKREPOST, RS","2023-04-24","0.00","58","73","38"
"RSM00026072","PETROKREPOST, RS","2023-04-25","0.00","58","72","41"
"RSM00026072","PETROKREPOST, RS","2023-04-26","0.00","54","68","41"
"RSM00026072","PETROKREPOST, RS","2023-04-27","0.04","47","63","38"
"RSM00026072","PETROKREPOST, RS","2023-04-28","0.28","42","54",
"RSM00026072","PETROKREPOST, RS","2023-04-29","0.02","41","50",
"RSM00026072","PETROKREPOST, RS","2023-04-30","0.03","45","58","32"
"RSM00026072","PETROKREPOST, RS","2023-05-01","0.00","43","52","34"
"RSM00026072","PETROKREPOST, RS","2023-05-02","0.04","50","65","37"
"RSM00026072","PETROKREPOST, RS","2023-05-03","0.08","45","53",
"RSM00026072","PETROKREPOST, RS","2023-05-04","0.00","38","45",
"RSM00026072","PETROKREPOST, RS","2023-05-05","0.05","34","42","27"
"RSM00026072","PETROKREPOST, RS","2023-05-06","0.00","37","44","29"
"RSM00026072","PETROKREPOST, RS","2023-05-07","0.00","43","53","33"
"RSM00026072","PETROKREPOST, RS","2023-05-08","0.00","47","58","33"
"RSM00026072","PETROKREPOST, RS","2023-05-09","0.00","50","63","34"
"RSM00026072","PETROKREPOST, RS","2023-05-10","0.00","52","66","36"
"RSM00026072","PETROKREPOST, RS","2023-05-11","0.00","55","70","37"
"RSM00026072","PETROKREPOST, RS","2023-05-12","0.00","58","71","43"
"RSM00026072","PETROKREPOST, RS","2023-05-13","0.00","56","65","45"
"RSM00026072","PETROKREPOST, RS","2023-05-14","0.00","54","66","42"
"RSM00026072","PETROKREPOST, RS","2023-05-15","0.00","56","71","44"
"RSM00026072","PETROKREPOST, RS","2023-05-16","0.00","61","74","45"
"RSM00026072","PETROKREPOST, RS","2023-05-17","0.02","62","69","56"
"RSM00026072","PETROKREPOST, RS","2023-05-18","0.16","51","58",
"RSM00026072","PETROKREPOST, RS","2023-05-19","0.00","49","57","41"
"RSM00026072","PETROKREPOST, RS","2023-05-20","0.00","53","65","39"
"RSM00026072","PETROKREPOST, RS","2023-05-21","0.00","56","68","41"
"RSM00026072","PETROKREPOST, RS","2023-05-22","0.24","56","65","47"
"RSM00026072","PETROKREPOST, RS","2023-05-23","0.08","60","73","48"
"RSM00026072","PETROKREPOST, RS","2023-05-24","0.00","60","70","48"
"RSM00026072","PETROKREPOST, RS","2023-05-25","0.00","65","77","51"
"RSM00026072","PETROKREPOST, RS","2023-05-26","0.01","56","65",
"RSM00026072","PETROKREPOST, RS","2023-05-27","0.08","49","58",
"RSM00026072","PETROKREPOST, RS","2023-05-28","0.00","54","66","38"
"RSM00026072","PETROKREPOST, RS","2023-05-29","0.00","53","62",
"RSM00026072","PETROKREPOST, RS","2023-05-30","0.00","50","59","42"
"RSM00026072","PETROKREPOST, RS","2023-05-31","0.02","53","64","41"
"RSM00026072","PETROKREPOST, RS","2023-06-01","0.00","51","59",
"RSM00026072","PETROKREPOST, RS","2023-06-02","0.02","45","54","34"
"RSM00026072","PETROKREPOST, RS","2023-06-03","0.12","44","53","33"
"RSM00026072","PETROKREPOST, RS","2023-06-04","0.14","50","60","44"
"RSM00026072","PETROKREPOST, RS","2023-06-05","0.00","55","62","44"
"RSM00026072","PETROKREPOST, RS","2023-06-06","0.00","58","66","47"
"RSM00026072","PETROKREPOST, RS","2023-06-07","0.08","52","63",
"RSM00026072","PETROKREPOST, RS","2023-06-08","0.00","57","71","42"
"RSM00026072","PETROKREPOST, RS","2023-06-09","0.12","50","57","44"
"RSM00026072","PETROKREPOST, RS","2023-06-10","0.00","50","56","41"
"RSM00026072","PETROKREPOST, RS","2023-06-11","0.00","55","69","37"
"RSM00026072","PETROKREPOST, RS","2023-06-12","0.00","60","74","42"
"RSM00026072","PETROKREPOST, RS","2023-06-13","0.00","65","79","46"
"RSM00026072","PETROKREPOST, RS","2023-06-14","0.00","64","78","50"
"RSM00026072","PETROKREPOST, RS","2023-06-15","0.00","62","74","48"
"RSM00026072","PETROKREPOST, RS","2023-06-16","0.00","66","79","50"
"RSM00026072","PETROKREPOST, RS","2023-06-17","0.00","67","76","57"
"RSM00026072","PETROKREPOST, RS","2023-06-18","0.00","59","67",
"RSM00026072","PETROKREPOST, RS","2023-06-19","0.00","62","73","48"
"RSM00026072","PETROKREPOST, RS","2023-06-20","0.00","63","71","53"
"RSM00026072","PETROKREPOST, RS","2023-06-21","0.00","64","74","50"
"RSM00026072","PETROKREPOST, RS","2023-06-22","1.06","69","87","61"
"RSM00026072","PETROKREPOST, RS","2023-06-23","0.39","66","74","61"
"RSM00026072","PETROKREPOST, RS","2023-06-24","0.47","63","73",
"RSM00026072","PETROKREPOST, RS","2023-06-25","0.00","63","74","54"
"RSM00026072","PETROKREPOST, RS","2023-06-26","0.00","67","76","59"
"RSM00026072","PETROKREPOST, RS","2023-06-27","0.00","68","77","57"
"RSM00026072","PETROKREPOST, RS","2023-06-28","0.00","68","79","56"
"RSM00026072","PETROKREPOST, RS","2023-06-29","0.00","69","78","61"
"RSM00026072","PETROKREPOST, RS","2023-06-30","0.00","68","78","55"
"RSM00026072","PETROKREPOST, RS","2023-07-01","0.35","66","78","57"
"RSM00026072","PETROKREPOST, RS","2023-07-02","0.02","64","73","59"
"RSM00026072","PETROKREPOST, RS","2023-07-03","0.24","61","69",
"RSM00026072","PETROKREPOST, RS","2023-07-04","0.51","61","70","51"
