"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026063","ST. PETERSBURG, RS","2023-05-13","0.00","57",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-14","0.00","60","72",
"RSM00026063","ST. PETERSBURG, RS","2023-05-15","0.00","62","75",
"RSM00026063","ST. PETERSBURG, RS","2023-05-16","0.00","62",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-17","0.00","62","69",
"RSM00026063","ST. PETERSBURG, RS","2023-05-18","0.12","51",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-19","0.00","51",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-20","0.00","55","65",
"RSM00026063","ST. PETERSBURG, RS","2023-05-21","0.00","60","72",
"RSM00026063","ST. PETERSBURG, RS","2023-05-22","0.07","57","71",
"RSM00026063","ST. PETERSBURG, RS","2023-05-23","0.08","60","74",
"RSM00026063","ST. PETERSBURG, RS","2023-05-24","0.00","64","76",
"RSM00026063","ST. PETERSBURG, RS","2023-05-25","0.00","64","75",
"RSM00026063","ST. PETERSBURG, RS","2023-05-26","0.02","56",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-27","0.04","51","57",
"RSM00026063","ST. PETERSBURG, RS","2023-05-28","0.00","56",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-29","0.00","54",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-30","0.00","52",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-31","0.02","54",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-01","0.00","51",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-02","0.00","45",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-03","0.00","49",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-04","0.20","51","60",
"RSM00026063","ST. PETERSBURG, RS","2023-06-05","0.00","56",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-06","0.00","58",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-07","0.08","56",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-08","0.00","57",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-09","0.12","53","60",
"RSM00026063","ST. PETERSBURG, RS","2023-06-10","0.00","51","61",
"RSM00026063","ST. PETERSBURG, RS","2023-06-11","0.00","56","67",
"RSM00026063","ST. PETERSBURG, RS","2023-06-12","0.00","61","72",
"RSM00026063","ST. PETERSBURG, RS","2023-06-13","0.00","66",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-14","0.00","67",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-15","0.00","66",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-16","0.00","71","84",
"RSM00026063","ST. PETERSBURG, RS","2023-06-17","0.00","72","81",
"RSM00026063","ST. PETERSBURG, RS","2023-06-18","0.00","65",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-19","0.00","65","78",
"RSM00026063","ST. PETERSBURG, RS","2023-06-20","0.00","68",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-21","0.00","70",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-22","0.02","72",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-23","0.63","68","75",
"RSM00026063","ST. PETERSBURG, RS","2023-06-24","0.00","67","77",
"RSM00026063","ST. PETERSBURG, RS","2023-06-25","0.12","64",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-26","0.20","66","77",
"RSM00026063","ST. PETERSBURG, RS","2023-06-27","0.00","70","82",
"RSM00026063","ST. PETERSBURG, RS","2023-06-28","0.47","70","81",
"RSM00026063","ST. PETERSBURG, RS","2023-06-29","0.00","71",,
"RSM00026063","ST. PETERSBURG, RS","2023-06-30","0.02","70",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-01","0.51","67",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-02","0.39","65",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-03","0.47","61",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-04","0.14","61",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-05","0.03","63",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-06","0.00","69",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-07","0.08","64",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-08","0.00","62","71",
"RSM00026063","ST. PETERSBURG, RS","2023-07-09","0.00","58",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-10","0.00","57","64",
"RSM00026063","ST. PETERSBURG, RS","2023-07-11","0.00","59","69",
"RSM00026063","ST. PETERSBURG, RS","2023-07-12","0.00","63",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-13","0.00","64","74",
"RSM00026063","ST. PETERSBURG, RS","2023-07-14","0.00","66",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-15","0.00","67",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-16","0.00","70",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-17","0.31","68","75",
"RSM00026063","ST. PETERSBURG, RS","2023-07-18","0.08","63","69",
"RSM00026063","ST. PETERSBURG, RS","2023-07-19","0.00","63",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-20","0.00","62","70",
"RSM00026063","ST. PETERSBURG, RS","2023-07-21","0.00","64",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-22","0.08","64",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-23","0.00","63",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-24","0.00","62","68",
"RSM00026063","ST. PETERSBURG, RS","2023-07-25","0.00","66",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-26","0.02","65",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-27","0.00","65","72",
"RSM00026063","ST. PETERSBURG, RS","2023-07-28","0.87","60","66",
"RSM00026063","ST. PETERSBURG, RS","2023-07-29","0.00","63",,
"RSM00026063","ST. PETERSBURG, RS","2023-07-30","0.20","67","76","59"
"RSM00026063","ST. PETERSBURG, RS","2023-07-31",,"67",,
"RSM00026063","ST. PETERSBURG, RS","2023-08-01","0.00","69","80",
"RSM00026063","ST. PETERSBURG, RS","2023-08-02","0.08","71","81",
"RSM00026063","ST. PETERSBURG, RS","2023-08-03","0.18","70","76",
"RSM00026063","ST. PETERSBURG, RS","2023-08-04","0.33","68",,
"RSM00026063","ST. PETERSBURG, RS","2023-08-05","0.00","69",,
"RSM00026063","ST. PETERSBURG, RS","2023-08-06","0.00","74","83",
"RSM00026063","ST. PETERSBURG, RS","2023-08-07","0.00","80","91",
"RSM00026063","ST. PETERSBURG, RS","2023-08-08","0.20","71",,
"RSM00026063","ST. PETERSBURG, RS","2023-08-09","0.00","67","77",
"RSM00026063","ST. PETERSBURG, RS","2023-08-10","0.00","67","77",
"RSM00026063","ST. PETERSBURG, RS","2023-08-11","0.00","69","80",
